iter	Passed	Remaining
217	2562	4490
218	2574	4478
219	2585	4465
220	2596	4452
221	2607	4440
222	2619	4428
223	2631	4417
224	2643	4405
225	2657	4397
226	2668	4385
227	2681	4374
228	2693	4362
229	2706	4353
230	2719	4343
231	2732	4334
232	2746	4326
233	2765	4325
234	2780	4319
235	2792	4307
236	2804	4295
237	2816	4283
238	2827	4270
239	2839	4259
240	2851	4247
241	2862	4235
242	2874	4223
243	2886	4211
244	2898	4200
245	2910	4188
246	2922	4176
247	2933	4163
248	2943	4149
249	2954	4135
250	2965	4123
251	2977	4112
252	2990	4102
253	3003	4090
254	3015	4079
255	3027	4067
256	3038	4055
257	3050	4044
258	3067	4038
259	3078	4026
260	3090	4014
261	3102	4002
262	3113	3990
263	3124	3976
264	3135	3964
265	3147	3951
266	3158	3938
267	3169	3926
268	3180	3913
269	3190	3900
270	3202	3887
271	3214	3876
272	3225	3864
273	3236	3850
274	3247	3838
275	3258	3824
276	3268	3811
277	3280	3799
278	3291	3787
279	3302	3774
280	3313	3762
281	3324	3748
282	3333	3734
283	3344	3720
284	3354	3707
285	3364	3693
286	3374	3680
287	3384	3666
288	3394	3653
289	3404	3638
290	3414	3625
291	3423	3611
292	3433	3597
293	3443	3583
294	3452	3569
295	3463	3557
296	3473	3544
297	3483	3530
298	3495	3518
299	3507	3507
300	3517	3494
301	3529	3482
302	3541	3471
303	3551	3458
304	3562	3446
305	3573	3433
306	3584	3421
307	3595	3409
308	3606	3396
309	3616	3383
310	3628	3371
311	3639	3359
312	3650	3347
313	3661	3335
314	3672	3322
315	3683	3310
316	3696	3299
317	3708	3288
318	3720	3277
319	3732	3265
320	3743	3253
321	3755	3241
322	3764	3228
323	3777	3217
324	3788	3205
325	3799	3193
326	3809	3180
327	3820	3168
328	3830	3154
329	3841	3143
330	3852	3130
331	3862	3118
332	3872	3105
333	3883	3092
334	3893	3079
335	3903	3067
336	3929	3066
337	3945	3058
338	3958	3047
339	3970	3035
340	3980	3023
341	3991	3011
342	4001	2998
343	4011	2985
344	4023	2973
345	4033	2961
346	4043	2948
347	4054	2936
348	4065	2924
349	4075	2911
350	4085	2898
351	4095	2885
352	4106	2873
353	4118	2861
354	4128	2849
355	4138	2836
356	4148	2823
357	4158	2810
358	4168	2798
359	4177	2785
360	4187	2772
361	4198	2760
362	4208	2747
363	4219	2735
364	4228	2722
365	4239	2710
366	4250	2698
367	4260	2685
368	4269	2672
369	4278	2659
370	4287	2646
371	4296	2633
372	4305	2620
373	4314	2607
374	4323	2594
375	4333	2581
376	4341	2568
377	4351	2555
378	4361	2543
379	4370	2530
380	4379	2517
381	4388	2504
382	4398	2492
383	4407	2479
384	4416	2466
385	4425	2453
386	4435	2441
387	4443	2428
388	4453	2415
389	4462	2402
390	4471	2390
391	4480	2377
392	4489	2364
393	4499	2352
394	4507	2339
395	4518	2327
396	4527	2315
397	4536	2302
398	4545	2290
399	4554	2277
400	4563	2264
401	4572	2252
402	4581	2239
403	4590	2227
404	4599	2214
405	4609	2202
406	4618	2189
407	4626	2177
